s	betax	betay
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
0.000000000000000e+00	8.164862553635702e+00	3.520487758824669e+00
3.697160000000000e-01	8.181603793277892e+00	3.559314742475873e+00
7.394320000000000e-01	8.231827512204474e+00	3.675795693429400e+00
1.109148000000000e+00	8.315533710415444e+00	3.869930611685251e+00
1.478864000000000e+00	8.432722387910806e+00	4.141719497243424e+00
1.848580000000000e+00	8.583393544690557e+00	4.491162350103921e+00
2.218296000000000e+00	8.767547180754699e+00	4.918259170266741e+00
2.588012000000000e+00	8.985183296103230e+00	5.423009957731884e+00
2.957728000000000e+00	9.236301890736152e+00	6.005414712499351e+00
3.327444000000000e+00	9.520902964653464e+00	6.665473434569141e+00
3.697160000000000e+00	9.838986517855167e+00	7.403186123941254e+00
3.697160000000000e+00	9.838986517855167e+00	7.403186123941254e+00
3.697160000000000e+00	9.838986517855167e+00	7.403186123941254e+00
3.697160000000000e+00	9.838986517855167e+00	7.403186123941254e+00
3.704660000000000e+00	9.845785609650690e+00	7.418954862196586e+00
3.712159999999999e+00	9.852598480000262e+00	7.434755556251143e+00
3.719659999999999e+00	9.859425128903883e+00	7.450588206104927e+00
3.727159999999999e+00	9.866265556361554e+00	7.466452811757937e+00
3.734659999999999e+00	9.873119762373275e+00	7.482349373210173e+00
3.742159999999999e+00	9.879987746939044e+00	7.498277890461636e+00
3.749659999999999e+00	9.886869510058862e+00	7.514238363512325e+00
3.757159999999999e+00	9.893765051732730e+00	7.530230792362240e+00
3.764659999999998e+00	9.900674371960648e+00	7.546255177011383e+00
3.772159999999998e+00	9.907597470742614e+00	7.562311517459752e+00
3.790659999999998e+00	9.908441497735721e+00	7.614531914861590e+00
3.809159999999998e+00	9.876817536146056e+00	7.692159566744546e+00
3.827659999999998e+00	9.812933353962391e+00	7.795705042318935e+00
3.846159999999998e+00	9.717208667354974e+00	7.925849376376010e+00
3.864659999999998e+00	9.590272383159395e+00	8.083448548560327e+00
3.883159999999998e+00	9.432958466987280e+00	8.269539113281771e+00
3.901659999999998e+00	9.246300464110181e+00	8.485345017296073e+00
3.920159999999998e+00	9.031524709114155e+00	8.732285649794079e+00
3.938659999999998e+00	8.790042268937343e+00	9.011985177946517e+00
3.957159999999998e+00	8.523439672224381e+00	9.326283229305561e+00
3.961659999999998e+00	8.455811115559221e+00	9.407282144694030e+00
3.966159999999998e+00	8.388456695869985e+00	9.488635603149271e+00
3.970659999999998e+00	8.321376413156671e+00	9.570343604671287e+00
3.975159999999998e+00	8.254570267419277e+00	9.652406149260077e+00
3.979659999999999e+00	8.188038258657807e+00	9.734823236915641e+00
3.984159999999999e+00	8.121780386872258e+00	9.817594867637979e+00
3.988659999999999e+00	8.055796652062631e+00	9.900721041427090e+00
3.993159999999999e+00	7.990087054228925e+00	9.984201758282975e+00
3.997659999999999e+00	7.924651593371142e+00	1.006803701820563e+01
4.002159999999999e+00	7.859490269489281e+00	1.015222682119506e+01
