s	betax	betay
 0.000000000000000e+00  1.529999654279341e+01  6.996830909015430e+00 
 0.000000000000000e+00  1.529999654279341e+01  6.996830909015430e+00 
 3.000000000000000e-01  1.530587889706377e+01  7.009693875288354e+00 
 6.000000000000000e-01  1.532352595987485e+01  7.048282774107121e+00 
 8.000000000000000e-01  1.534182661760486e+01  7.088300891400657e+00 
 1.100000000000000e+00  1.537908152798381e+01  7.169766344462495e+00 
 1.150000000000000e+00  1.538643447082176e+01  7.185845052303647e+00 
 1.350000000000000e+00  1.541911421676821e+01  7.257305976042102e+00 
 1.400000000000000e+00  1.542810114690348e+01  7.276957730070177e+00 
 1.425000000000000e+00  1.543271716101841e+01  7.287051585548234e+00 
 1.575000000000000e+00  1.546212893237022e+01  7.351366416912843e+00 
 1.875000000000000e+00  1.552977600647936e+01  7.499290529051443e+00 
 1.900000000000000e+00  1.553594430852675e+01  7.512778778407076e+00 
 2.200000000000000e+00  1.561633648355501e+01  7.688572650803672e+00 
 2.500000000000000e+00  1.570849336712399e+01  7.890092455746111e+00 
 2.700000000000000e+00  1.577646723869260e+01  8.038731177122093e+00 
 2.750000000000000e+00  1.579427770023341e+01  8.077677380559550e+00 
 2.799999999999999e+00  1.581241495923369e+01  8.117338193234390e+00 
 3.250000000000000e+00  1.182633475012955e+01  1.115336907495696e+01 
 3.450000000000000e+00  8.786143216649226e+00  1.412462409428231e+01 
 3.900000000000000e+00  6.208463882955793e+00  1.480779543543317e+01 
 3.950000000000000e+00  6.258155098345836e+00  1.415701158793980e+01 
 4.024999999999999e+00  6.334567349777775e+00  1.320890278478278e+01 
 4.074999999999999e+00  6.386759136296983e+00  1.259554156140013e+01 
 4.149999999999999e+00  6.466922244422670e+00  1.170356669440919e+01 
 4.199999999999999e+00  6.521614602071043e+00  1.112762809513726e+01 
 4.649999999999999e+00  5.888391137500875e+00  8.152849063731647e+00 
 4.659999999999999e+00  5.851003799338169e+00  8.126483293186782e+00 
 4.685000000000000e+00  5.758205459311522e+00  8.060863184980100e+00 
 4.835000000000000e+00  5.221515580555137e+00  7.675972080404445e+00 
 5.835000000000000e+00  2.524161555094327e+00  5.496849530437209e+00 
 5.935000000000000e+00  2.338655400334327e+00  5.315937272129545e+00 
 5.975000000000000e+00  2.268740972863073e+00  5.245456005001558e+00 
 6.125000000000000e+00  2.028384902226808e+00  4.990737616050139e+00 
 6.150000000000000e+00  1.991675584021347e+00  4.949756142002308e+00 
 7.400000000000000e+00  1.375570695903717e+00  3.395886721742742e+00 
 7.500000000000000e+00  1.429402607974680e+00  3.315116754539771e+00 
 7.550000000000000e+00  1.462061467268303e+00  3.277332116516583e+00 
 7.600000000000000e+00  1.498548928734021e+00  3.241281042212260e+00 
 8.049999999999999e+00  2.248938294066813e+00  2.602556238881928e+00 
 8.074999999999999e+00  2.317609780595771e+00  2.552872151195601e+00 
 8.225000000000000e+00  2.762824454627026e+00  2.275007176230050e+00 
 8.225000000000000e+00  2.762824454627026e+00  2.275007176230050e+00 
 8.302500000000000e+00  3.015141801555800e+00  2.145037837688551e+00 
 8.377500000000000e+00  3.273779386702433e+00  2.028079720028393e+00 
 8.462500000000000e+00  3.584095364766222e+00  1.906013201753463e+00 
 8.537500000000000e+00  3.873074211496861e+00  1.807559816575509e+00 
 8.629999999999999e+00  4.249068952534115e+00  1.698080128976706e+00 
 8.654999999999999e+00  4.354402796810413e+00  1.670755926373043e+00 
 8.705000000000000e+00  4.569811307485510e+00  1.618998885616060e+00 
 8.730000000000000e+00  4.679885973884308e+00  1.594566047462741e+00 
 8.830000000000000e+00  5.135987379887839e+00  1.506472576350613e+00 
 8.855000000000000e+00  5.253963416490805e+00  1.486858678947868e+00 
 8.905000000000001e+00  5.494656311819240e+00  1.450522248592723e+00 
 8.930000000000001e+00  5.617373170544707e+00  1.433799715640323e+00 
 9.030000000000001e+00  6.124043345854913e+00  1.376547465331869e+00 
 9.480000000000000e+00  5.956454121009120e+00  1.898970287982454e+00 
 9.580000000000000e+00  5.388891576866130e+00  2.229108090333715e+00 
 9.605000000000000e+00  5.251991730513224e+00  2.317294310265805e+00 
 9.655000000000001e+00  4.984180985426821e+00  2.500448873343118e+00 
 9.680000000000001e+00  4.853270086693325e+00  2.595417216488340e+00 
 9.772500000000001e+00  4.386257727896312e+00  2.966456939905051e+00 
 9.847500000000000e+00  4.027662033126458e+00  3.290020071655562e+00 
 9.932500000000001e+00  3.642973495753684e+00  3.681321454492429e+00 
 1.000750000000000e+01  3.322707065748054e+00  4.048290174806978e+00 
 1.000750000000000e+01  3.322707065748054e+00  4.048290174806978e+00 
 1.004750000000000e+01  3.159244745491526e+00  4.252326230116178e+00 
 1.009750000000000e+01  2.962103582314159e+00  4.515509847108435e+00 
 1.011910000000000e+01  2.879408537642944e+00  4.632002225776156e+00 
 1.014410000000000e+01  2.785557246778355e+00  4.768938347364231e+00 
 1.029410000000000e+01  2.264372134926693e+00  5.638029939384599e+00 
 1.030410000000000e+01  2.232181745120863e+00  5.698863084756892e+00 
 1.032910000000000e+01  2.153103191717486e+00  5.852528443604023e+00 
 1.037910000000000e+01  2.000935032530140e+00  6.166641284511417e+00 
 1.040410000000000e+01  1.927845426746172e+00  6.327088766571680e+00 
 1.046600000000000e+01  1.755466284966146e+00  6.734085208632085e+00 
 1.176600000000000e+01  1.755469321599917e+00  6.734084009410115e+00 
 1.180690000000000e+01  1.867996212285798e+00  6.463610485884064e+00 
 1.188190000000000e+01  2.088223765408528e+00  5.983353110927871e+00 
 1.191600000000000e+01  2.194295431925409e+00  5.771724521125988e+00 
 1.196600000000000e+01  2.356541350268898e+00  5.469023695342448e+00 
 1.200010000000000e+01  2.471773116372537e+00  5.267768358775581e+00 
 1.207510000000000e+01  2.738283318280275e+00  4.839923256381153e+00 
 1.211600000000000e+01  2.891190750004343e+00  4.615178228925331e+00 
 1.341600000000000e+01  2.891184072250830e+00  4.615175515349708e+00 
 1.344100000000000e+01  2.797084944971063e+00  4.751831164482731e+00 
